id;status;api_mark;statusCode;success;set_order_id
426315;injob;from_BetaPost_API;200;1;426315
425812;delivered;from_BetaPost_API;2016-06-16;200;1;425812
428509;injob;from_BetaPost_API;200;1;428509
428273;delivered;from_BetaPost_API;2016-07-18;200;1;428273
432801;injob;from_BetaPost_API;200;1;432801
432662;injob;from_BetaPost_API;200;1;432662
431967;injob;from_BetaPost_API;200;1;431967
431087;injob;from_BetaPost_API;200;1;431087
424298;injob;from_BetaPost_API;200;1;424298
424210;injob;from_BetaPost_API;200;1;424210
423730;injob;from_BetaPost_API;200;1;423730
417295;injob;from_BetaPost_API;200;1;417295
440334;delivered;from_BetaPost_API;2016-07-18;200;1;440334
437872;delivered;from_BetaPost_API;2016-07-18;200;1;437872
437705;delivered;from_BetaPost_API;2016-07-18;200;1;437705
441533;delivered;from_BetaPost_API;2016-07-18;200;1;441533
442111;parcel-on-a-place;from_BetaPost_API;2016-07-12;200;1;442111
440064;delivered;from_BetaPost_API;2016-07-18;200;1;440064
444144;delivered;from_BetaPost_API;2016-07-04;200;1;444144
445102;delivered;from_BetaPost_API;2016-07-18;200;1;445102
448699;injob;from_BetaPost_API;200;1;448699
446284;delivered;from_BetaPost_API;2016-07-18;200;1;446284
450272;delivered;from_BetaPost_API;2016-07-18;200;1;450272
450586;delivered;from_BetaPost_API;2016-07-18;200;1;450586
451439;delivered;from_BetaPost_API;2016-07-18;200;1;451439
450366;delivered;from_BetaPost_API;2016-07-18;200;1;450366
452030;delivered;from_BetaPost_API;2016-07-19;200;1;452030
454602;delivered;from_BetaPost_API;2016-07-18;200;1;454602
454197;delivered;from_BetaPost_API;2016-07-18;200;1;454197
451988;injob;from_BetaPost_API;200;1;451988
455765;parcel-on-a-place;from_BetaPost_API;2016-07-11;200;1;455765
456402;delivered;from_BetaPost_API;2016-07-18;200;1;456402
455497;delivered;from_BetaPost_API;2016-07-18;200;1;455497
453316;parcel-on-a-place;from_BetaPost_API;2016-07-13;200;1;453316
458012;delivered;from_BetaPost_API;2016-07-18;200;1;458012
458447;parcel-on-a-place;from_BetaPost_API;2016-07-16;200;1;458447
458939;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;458939
459250;delivered;from_BetaPost_API;2016-07-18;200;1;459250
458614;delivered;from_BetaPost_API;2016-07-18;200;1;458614
458566;delivered;from_BetaPost_API;2016-07-18;200;1;458566
458984;delivered;from_BetaPost_API;2016-07-18;200;1;458984
458738;delivered;from_BetaPost_API;2016-07-18;200;1;458738
458523;delivered;from_BetaPost_API;2016-07-18;200;1;458523
458241;delivered;from_BetaPost_API;2016-07-18;200;1;458241
457035;delivered;from_BetaPost_API;2016-07-18;200;1;457035
458538;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;458538
453898;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;453898
458399;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;458399
455127;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;455127
459750;delivered;from_BetaPost_API;2016-07-18;200;1;459750
459453;delivered;from_BetaPost_API;2016-07-18;200;1;459453
459710;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;459710
459231;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;459231
459080;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;459080
459509;delivered;from_BetaPost_API;2016-07-18;200;1;459509
461557;parcel-on-a-place;from_BetaPost_API;2016-07-19;200;1;461557
463065;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463065
463041;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;463041
461180;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;461180
462972;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462972
462539;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462539
460841;parcel-on-a-place;from_BetaPost_API;2016-07-15;200;1;460841
461511;parcel-on-a-place;from_BetaPost_API;2016-07-16;200;1;461511
462937;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462937
462421;delivered;from_BetaPost_API;2016-07-18;200;1;462421
460431;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460431
460396;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460396
462890;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;462890
462125;delivered;from_BetaPost_API;2016-07-18;200;1;462125
460039;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460039
460381;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;460381
461889;delivered;from_BetaPost_API;2016-07-18;200;1;461889
459295;parcel-on-a-place;from_BetaPost_API;2016-07-18;200;1;459295
