id;status;api_mark;date_of_delivery;statusCode;success;set_order_id
485242;delivered;from_BetaPost_API;2016-08-02;200;1;485242
486536;delivered;from_BetaPost_API;2016-08-02;200;1;486536
485152;delivered;from_BetaPost_API;2016-08-02;200;1;485152
486481;delivered;from_BetaPost_API;2016-08-02;200;1;486481
485114;delivered;from_BetaPost_API;2016-08-02;200;1;485114
484453;delivered;from_BetaPost_API;2016-08-02;200;1;484453
483979;delivered;from_BetaPost_API;2016-08-02;200;1;483979
483968;delivered;from_BetaPost_API;2016-08-02;200;1;483968
483831;delivered;from_BetaPost_API;2016-08-02;200;1;483831
487142;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;487142
486560;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;486560
486555;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;486555
487991;delivered;from_BetaPost_API;2016-08-02;200;1;487991
486115;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;486115
487831;delivered;from_BetaPost_API;2016-08-02;200;1;487831
486057;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;486057
487757;delivered;from_BetaPost_API;2016-08-02;200;1;487757
485478;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;485478
487070;delivered;from_BetaPost_API;2016-08-02;200;1;487070
485344;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;485344
486735;delivered;from_BetaPost_API;2016-08-02;200;1;486735
484910;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;484910
486725;delivered;from_BetaPost_API;2016-08-02;200;1;486725
485324;delivered;from_BetaPost_API;2016-08-02;200;1;485324
484204;parcel-on-a-place;from_BetaPost_API;2016-08-02;200;1;484204
486663;delivered;from_BetaPost_API;2016-08-02;200;1;486663
