id;status;api_mark;date_of_arrival;statusCode;success;set_order_id
506590;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506590
506226;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506226
504691;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;504691
507440;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;507440
506083;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506083
506316;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;506316
505852;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;505852
504671;delivered;from_BetaPost_API;2016-08-26;200;1;504671
508451;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;508451
508314;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;508314
509038;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;509038
519052;delivered;from_BetaPost_API;2016-08-26;200;1;519052
519686;delivered;from_BetaPost_API;2016-08-26;200;1;519686
521223;delivered;from_BetaPost_API;2016-08-26;200;1;521223
511306;delivered;from_BetaPost_API;2016-08-26;200;1;511306
520105;delivered;from_BetaPost_API;2016-08-26;200;1;520105
520904;parcel-on-a-place;from_BetaPost_API;2016-08-26;200;1;520904
521406;delivered;from_BetaPost_API;2016-08-26;200;1;521406
519819;delivered;from_BetaPost_API;2016-08-26;200;1;519819
519718;delivered;from_BetaPost_API;2016-08-26;200;1;519718
520215;delivered;from_BetaPost_API;2016-08-26;200;1;520215
520085;delivered;from_BetaPost_API;2016-08-26;200;1;520085
519435;delivered;from_BetaPost_API;2016-08-26;200;1;519435
