id;status;api_mark;statusCode;success;set_order_id
569193;injob;from_BetaPost_API;200;1;569193
569223;injob;from_BetaPost_API;200;1;569223
572057;injob;from_BetaPost_API;200;1;572057
573452;injob;from_BetaPost_API;200;1;573452
576626;injob;from_BetaPost_API;200;1;576626
576677;injob;from_BetaPost_API;200;1;576677
578685;injob;from_BetaPost_API;200;1;578685
577439;injob;from_BetaPost_API;200;1;577439
589428;delivered;from_BetaPost_API;2016-10-24;200;1;589428
588778;delivered;from_BetaPost_API;2016-10-25;200;1;588778
589731;parcel-on-a-place;from_BetaPost_API;2016-10-24;200;1;589731
590058;injob;from_BetaPost_API;200;1;590058
594058;delivered;from_BetaPost_API;2016-10-25;200;1;594058
594820;injob;from_BetaPost_API;200;1;594820
594321;injob;from_BetaPost_API;200;1;594321
591984;delivered;from_BetaPost_API;2016-10-25;200;1;591984
596390;parcel-on-a-place;from_BetaPost_API;2016-10-25;200;1;596390
596602;injob;from_BetaPost_API;200;1;596602
596416;injob;from_BetaPost_API;200;1;596416
595915;delivered;from_BetaPost_API;2016-10-24;200;1;595915
596480;delivered;from_BetaPost_API;2016-10-25;200;1;596480
599029;delivered;from_BetaPost_API;2016-10-25;200;1;599029
600693;delivered;from_BetaPost_API;2016-10-25;200;1;600693
598066;delivered;from_BetaPost_API;2016-10-25;200;1;598066
599290;delivered;from_BetaPost_API;2016-10-25;200;1;599290
600439;delivered;from_BetaPost_API;2016-10-25;200;1;600439
597166;parcel-on-a-place;from_BetaPost_API;2016-10-25;200;1;597166
600179;delivered;from_BetaPost_API;2016-10-25;200;1;600179
599548;parcel-on-a-place;from_BetaPost_API;2016-10-25;200;1;599548
598020;delivered;from_BetaPost_API;2016-10-25;200;1;598020
599174;delivered;from_BetaPost_API;2016-10-25;200;1;599174
600420;delivered;from_BetaPost_API;2016-10-25;200;1;600420
597170;delivered;from_BetaPost_API;2016-10-25;200;1;597170
