order_id;order_site;mapping_order_status_from;mapping_order_status_to;date_time;order_number;order_status_name;shipping_order_order_id;state;order_customFields_nomer_otpravleniya
477988;joint-cream;parcel-on-a-place;delivered;"2016-08-12 18:17:00";477988A;"Товар в точке получения";477988-477988A_366;Вручение;CB016551329RU
482137;vari-cream-com;parcel-on-a-place;delivered;"2016-08-12 21:30:00";482137A;"Товар в точке получения";482137-482137A_380;Вручение;CB016553421RU
483814;vari-cream-com;sent;parcel-on-a-place;"2016-08-12 16:31:07";483814A;Отправлен;483814-483814A_386;Невручение;32022181
488389;vari-cream-com;sent;parcel-on-a-place;"2016-08-12 16:31:07";488389C;Отправлен;488389-488389C_388;Невручение;32022314
489023;joint-cream;sent;parcel-on-a-place;"2016-08-12 08:54:00";489023A;Отправлен;489023-489023A_390;"Прибыло в город назначения";CB016555011RU
489797;joint-cream;sent;delivered;"2016-08-12 14:23:00";489797A;Отправлен;489797-489797A_391;Вручение;CB016555881RU
489346;joint-cream;sent;parcel-on-a-place;"2016-08-12 11:36:00";489346A;Отправлен;489346-489346A_390;"Прибыло в город назначения";CB016555144RU
489100;joint-cream;sent;parcel-on-a-place;"2016-08-12 08:54:00";489100A;Отправлен;489100-489100A_390;"Прибыло в город назначения";CB016555325RU
487547;gemor-cream;sent;delivered;"2016-08-12 12:03:00";487547A;Отправлен;487547-487547A_391;Вручение;CB016555379RU
489982;joint-cream;sent;parcel-on-a-place;"2016-08-12 11:10:00";489982A;Отправлен;489982-489982A_390;"Прибыло в город назначения";CB016555396RU
488829;joint-cream;sent;parcel-on-a-place;"2016-08-12 08:55:00";488829A;Отправлен;488829-488829A_390;"Прибыло в город назначения";CB016555714RU
490289;vari-cream-com;sent;parcel-on-a-place;"2016-08-12 11:11:00";490289A;Отправлен;490289-490289A_390;"Прибыло в город назначения";CB016555921RU
487955;joint-cream;sent;parcel-on-a-place;"2016-08-12 13:04:00";487955A;Отправлен;487955-487955A_390;"Прибыло в город назначения";CB016555762RU
488706;joint-cream;sent;delivered;"2016-08-12 16:01:00";488706A;Отправлен;488706-488706A_390;Вручение;CB016555793RU
486367;joint-cream;sent;parcel-on-a-place;"2016-08-12 14:07:00";486367A;Отправлен;486367-486367A_390;"Прибыло в город назначения";CB016555263RU
483075;vari-cream-com;sent;parcel-on-a-place;"2016-08-12 08:53:00";483075A;Отправлен;483075-483075A_390;"Прибыло в город назначения";CB016555060RU
489658;joint-cream;sent;parcel-on-a-place;"2016-08-12 09:04:00";489658A;Отправлен;489658-489658A_390;"Прибыло в город назначения";CB016555317RU
489101;fungus-cream;sent;parcel-on-a-place;"2016-08-12 08:39:00";489101A;Отправлен;489101-489101A_390;"Прибыло в город назначения";CB016555467RU
486461;joint-cream;sent;parcel-on-a-place;"2016-08-12 08:59:00";486461A;Отправлен;486461-486461A_390;"Прибыло в город назначения";CB016555436RU
488305;prosta-cream;sent;parcel-on-a-place;"2016-08-12 13:30:00";488305A;Отправлен;488305-488305A_390;"Прибыло в город назначения";CB016555422RU
489979;joint-cream;sent;parcel-on-a-place;"2016-08-12 08:48:00";489979A;Отправлен;489979-489979A_390;"Прибыло в город назначения";CB016555609RU
490058;fungus-cream;sent;delivered;"2016-08-12 08:32:00";490058A;Отправлен;490058-490058A_390;Вручение;CB016555515RU
488690;psorias-cream;sent;parcel-on-a-place;"2016-08-12 11:42:00";488690A;Отправлен;488690-488690A_390;"Прибыло в город назначения";CB016555484RU
488718;joint-cream;sent;delivered;"2016-08-12 15:14:00";488718A;Отправлен;488718-488718A_390;Вручение;CB016555949RU
487351;cellulite-cream;sent;parcel-on-a-place;"2016-08-12 11:35:00";487351A;Отправлен;487351-487351A_390;"Прибыло в город назначения";CB016555475RU
488050;joint-cream;sent;delivered;"2016-08-12 11:29:00";488050A;Отправлен;488050-488050A_390;Вручение;CB016555878RU
486259;psorias-cream;sent;parcel-on-a-place;"2016-08-12 09:01:00";486259A;Отправлен;486259-486259A_390;"Прибыло в город назначения";CB016554784RU
488218;prosta-cream;sent;delivered;"2016-08-12 13:58:00";488218A;Отправлен;488218-488218A_391;Вручение;CB016555285RU
489359;psorias-cream;sent;parcel-on-a-place;"2016-08-12 09:23:00";489359A;Отправлен;489359-489359A_390;"Прибыло в город назначения";CB016555524RU
489638;gemor-cream;sent;delivered;"2016-08-12 13:09:00";489638A;Отправлен;489638-489638A_390;Вручение;CB016555705RU
